pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_name,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,spin_axis_sin,spin_axis_cos
SL,84.8,-0.91,5.97,668964,14.0,L,R,0.21,0.39,0.61,1.41,3.161336188522189,-123.46034124112892,-5.131364255018707,1.517751126547028,24.940799082935783,-27.363466300907973,3.53,1.63,85.2,2017.0,6.5,53.97,Slider,171.0,2.78,-0.21,0.21,59.8,0.15643446504023098,-0.9876883405951377
CH,90.5,-0.95,5.48,669203,7.0,L,R,-1.25,0.33,-0.29,1.44,4.3482866766991215,-131.61642236267102,-4.843357355905223,-15.403708912130424,29.971596217114534,-27.465003349853937,3.08,1.47,91.1,2142.0,6.8,53.67,Changeup,224.0,2.47,1.25,-1.25,38.8,-0.6946583704589974,-0.7193398003386511
SL,83.8,2.55,6.34,607074,13.0,L,L,-0.53,0.29,-1.73,1.09,-8.791333179713046,-121.68247872345432,-6.283119861935728,-3.6817026395684462,22.06515337636528,-28.241264027624364,3.05,1.5,83.6,2447.0,6.1,54.39,Slider,275.0,2.95,-0.53,-0.53,40.3,-0.9961946980917455,0.08715574274765789
CU,80.9,-3.09,5.82,681190,13.0,L,R,1.39,-0.46,-1.13,1.97,1.7153627397332063,-117.88026581333608,-1.0490175247231934,12.511529999071248,23.997105441314243,-36.443039891123234,3.51,1.7,80.1,3292.0,5.9,54.65,Curveball,57.0,3.95,-1.39,1.39,,0.838670567945424,0.5446390350150271
FF,91.2,-1.06,6.21,592791,11.0,R,R,-0.33,1.22,-0.33,3.33,2.5766317452435548,-132.86046954183,-4.058131545795607,-4.420491221096796,26.075589906391127,-17.042886672338934,3.16,1.44,92.5,2272.0,6.8,53.69,4-Seam Fastball,207.0,1.5,0.33,0.33,48.9,-0.4539904997395467,-0.8910065241883679
FF,93.3,2.49,5.82,663687,12.0,R,L,0.83,1.51,0.43,3.34,-7.167892980792576,-135.65438215480535,-3.951216351560989,11.833929678185283,29.40525521382509,-12.812248860141809,3.2,1.45,93.9,2282.0,6.6,53.85,4-Seam Fastball,142.0,1.11,0.83,-0.83,47.4,0.6156614753256584,-0.7880107536067219
FS,83.5,2.47,5.23,684007,6.0,R,L,0.6,0.59,0.32,2.44,-6.148986396595264,-121.58202443017971,-1.225460118046053,7.076306932446205,21.069782481893423,-26.238585894512862,3.36,1.63,84.2,958.0,6.5,54.03,Split-Finger,128.0,2.64,0.6,-0.6,40.6,0.788010753606722,-0.6156614753256583
SI,86.9,-3.14,5.54,458681,2.0,R,R,-0.41,1.13,-0.17,3.48,7.929395535677576,-126.2667043667281,-0.9982347927100932,-6.142718378029311,28.28709642055618,-20.1445857470118,3.38,1.56,86.2,2261.0,6.2,54.33,Sinker,208.0,1.92,0.41,0.41,32.3,-0.46947156278589086,-0.8829475928589269
SL,89.8,1.18,5.88,676263,7.0,R,L,-0.07,0.2,-0.46,1.69,-3.930139303286789,-130.87862283716447,-4.932575078458553,-0.0795071121039385,23.47698367390344,-29.144144517312352,3.2,1.39,90.7,2487.0,6.4,54.05,Slider,154.0,2.58,-0.07,0.07,54.8,0.4383711467890773,-0.898794046299167
FC,89.8,3.14,5.39,801139,5.0,R,L,-0.21,0.7,-0.03,2.36,-7.56648648547654,-130.73174220977398,-3.113010381683682,-1.0086455614078569,24.946823826037168,-23.63908007679358,3.55,1.65,92.0,2311.0,7.4,53.14,Cutter,156.0,2.1,-0.21,0.21,29.6,0.40673664307580043,-0.9135454576426008
CH,82.1,4.49,3.97,571948,6.0,R,L,1.4,0.12,0.6,2.46,-11.54153443939502,-119.0201822968144,2.955494404533032,15.486530964864247,22.311356777374712,-31.877092538111047,3.1,1.45,82.3,1675.0,6.6,53.93,Changeup,89.0,3.28,1.4,-1.4,-9.6,0.9998476951563913,0.0174524064372836
FF,96.6,-1.31,5.48,808967,12.0,R,R,-0.72,1.18,0.35,3.54,6.083515472630102,-140.55645549062632,-2.255040172466597,-10.89882283447896,33.66931033858258,-16.33078446999381,3.23,1.48,96.8,2162.0,6.5,53.99,4-Seam Fastball,210.0,1.28,0.72,0.72,42.0,-0.5000000000000001,-0.8660254037844386
FF,97.4,-2.35,6.34,680742,6.0,R,R,-0.73,1.53,0.43,2.3,9.14691468588484,-141.33381173059877,-8.873270254588078,-11.735828336467486,30.57436319125131,-9.740268038487637,3.23,1.63,97.9,2416.0,6.6,53.9,4-Seam Fastball,209.0,0.87,0.73,0.73,44.4,-0.48480962024633695,-0.8746197071393959
FC,89.7,-3.09,5.83,669060,8.0,R,R,0.16,0.83,0.17,2.16,7.783104535953493,-130.5165810108291,-4.921402420939938,0.281228105175865,25.240349504523515,-21.830189627281207,3.46,1.65,90.4,2085.0,6.6,53.93,Cutter,201.0,1.98,-0.16,-0.16,42.8,-0.35836794954530043,-0.9335804264972016
FF,97.1,-2.49,5.08,680767,11.0,L,R,-0.57,0.82,-0.99,2.53,5.3381161937152095,-141.44540311724555,-3.273021439431945,-8.825540661911658,26.700047146799275,-20.57897693682889,3.32,1.54,98.2,2337.0,6.5,54.02,4-Seam Fastball,227.0,1.56,0.57,-0.57,30.6,-0.7313537016191703,-0.6819983600624986
SL,88.1,-0.43,6.58,605280,14.0,L,R,0.12,-0.1,1.12,2.02,3.501811678348699,-128.38873586707916,-4.815681131449821,0.6291268098826744,24.348099902625872,-32.54006764604619,3.23,1.42,87.9,2680.0,5.9,54.61,Slider,32.0,3.01,-0.12,0.12,54.5,0.5299192642332049,0.848048096156426
CH,90.6,0.23,6.4,676879,13.0,R,L,1.09,0.72,-0.86,1.72,-4.9216153588538845,-131.85060388509248,-7.243055137592314,13.693989760587767,24.377819710036345,-22.471229981744905,3.27,1.52,89.3,1665.0,5.2,55.28,Changeup,130.0,2.02,1.09,-1.09,55.8,0.766044443118978,-0.6427876096865394
FC,87.7,-1.46,6.0,592791,7.0,L,R,0.67,0.81,-0.72,2.36,0.3840758501190452,-127.77012455764942,-4.417891683453627,7.343602093624641,25.014737363826928,-22.588602124209217,3.8,1.83,88.4,2595.0,6.5,53.95,Cutter,165.0,2.13,-0.67,0.67,44.7,0.258819045102521,-0.9659258262890682
FF,93.2,-0.12,6.05,519151,9.0,R,R,-0.15,1.72,0.41,1.46,1.6909190828251226,-135.37306530932966,-9.764416941462729,-2.210842317460099,30.192387845353316,-9.101146468444748,3.32,1.48,93.1,2540.0,6.4,54.14,4-Seam Fastball,197.0,0.92,0.15,0.15,64.8,-0.29237170472273677,-0.9563047559630354
FC,89.2,-2.5,6.25,687765,9.0,L,R,0.51,0.65,0.72,1.59,6.873320252536976,-129.7516516954129,-6.852457752926237,4.452550182740032,25.00342847854441,-23.66514522725694,3.14,1.5,89.8,2583.0,6.5,54.02,Cutter,198.0,2.2,-0.51,0.51,53.0,-0.3090169943749473,-0.9510565162951536
CU,76.7,1.31,5.77,663559,1.0,L,L,-0.37,-0.46,-0.5,3.01,-3.233200442650232,-111.65745236680108,2.075143083040026,-2.4962105959474026,20.48434885304345,-36.59275207341093,3.25,1.64,78.1,1723.0,7.3,53.18,Curveball,300.0,4.33,-0.37,-0.37,,-0.8660254037844386,0.5000000000000001
CH,89.1,-0.75,6.36,605280,13.0,L,R,-1.1,0.4,-1.06,2.17,1.538966719449108,-129.71389543538575,-5.083806045498799,-12.68867370378675,27.57500583110119,-26.83572121712434,3.53,1.59,88.9,1208.0,6.2,54.35,Changeup,232.0,2.48,1.1,-1.1,41.6,-0.7880107536067221,-0.6156614753256581
ST,83.9,-2.18,5.26,694297,7.0,L,R,1.04,0.59,-0.37,1.73,2.1518163152283343,-122.182034763529,-2.9865746938939006,10.037269123547668,23.29605592651523,-25.885948435549057,3.37,1.57,84.6,2911.0,6.7,53.84,Sweeper,80.0,2.63,-1.04,1.04,22.4,0.984807753012208,0.17364817766693041
SL,84.3,1.73,6.38,669276,13.0,R,L,-0.04,0.5,-0.97,1.55,-6.22117198434875,-122.717329616416,-5.923202459019331,0.7228985844930319,21.725881354758755,-26.2279514607949,3.73,1.76,84.8,2160.0,6.4,54.11,Slider,177.0,2.68,-0.04,0.04,44.1,0.05233595624294381,-0.9986295347545738
SL,84.1,1.77,6.6,669276,13.0,L,L,-0.05,0.46,-1.2,1.8,-6.796429222477544,-122.35575546196316,-5.698759526018523,0.7517631651226837,22.082131248077197,-26.655244857024297,3.56,1.69,84.3,2097.0,6.2,54.27,Slider,167.0,2.74,-0.05,-0.05,43.2,0.2249510543438652,-0.9743700647852351
SI,95.0,1.16,6.14,608331,8.0,L,L,0.87,0.48,0.2,1.57,-4.471706822108015,-138.24640912807828,-7.428497521520606,12.088188200894477,30.123762589245477,-24.59519976258096,3.23,1.47,95.5,2114.0,6.5,53.98,Sinker,147.0,2.04,0.87,0.87,46.3,0.5446390350150273,-0.8386705679454239
FF,93.1,-0.93,5.51,621111,12.0,R,R,-0.4,1.35,1.61,2.88,7.433669801091745,-135.42438531171862,-3.993225369622552,-6.51279740705573,27.7405782595328,-14.893922112011076,3.44,1.59,93.6,2234.0,6.5,54.01,4-Seam Fastball,204.0,1.27,0.4,0.4,46.5,-0.4067366430758002,-0.9135454576426009
SI,95.9,-0.51,6.19,593423,5.0,R,R,-1.23,0.75,-0.19,2.36,3.597489347370079,-139.48398083113065,-6.113146946394725,-16.79959642506519,35.14796090044555,-21.13610851794123,3.45,1.56,95.0,2160.0,6.1,54.45,Sinker,209.0,1.75,1.23,1.23,50.7,-0.48480962024633695,-0.8746197071393959
FF,96.4,-1.37,5.32,693433,1.0,L,R,-0.91,1.48,-0.57,2.83,4.2373333626301255,-140.23903419864405,-4.423412878579768,-12.948334896432945,32.87550103838425,-11.85712074873275,3.09,1.43,97.3,2517.0,6.9,53.63,4-Seam Fastball,215.0,0.98,0.91,-0.91,32.4,-0.5735764363510462,-0.8191520442889918
FF,97.4,-1.53,5.16,670990,6.0,R,R,-0.97,1.25,0.3,2.37,7.263896092696771,-141.6146683297686,-4.907043122597768,-14.71368605090092,32.130899360082154,-14.468155883337923,3.39,1.6,98.9,2383.0,7.2,53.33,4-Seam Fastball,231.0,1.16,0.97,0.97,24.2,-0.7771459614569706,-0.6293203910498378
CH,89.0,-1.8,5.59,596133,14.0,R,R,-1.1,0.25,1.0,1.1,9.132734348506046,-129.4462726779161,-5.562668614385191,-14.064921203007083,22.717587246707406,-28.53079399371773,3.08,1.47,89.4,1945.0,6.2,54.28,Changeup,225.0,2.6,1.1,1.1,45.5,-0.7071067811865475,-0.7071067811865477
FF,98.9,-1.13,6.08,690925,2.0,R,R,-0.52,1.24,0.2,3.04,4.784755777649321,-143.98743087351545,-5.711755964992743,-8.326258054524011,32.2451876262297,-13.800473690372469,3.38,1.56,98.3,2482.0,5.8,54.66,4-Seam Fastball,200.0,1.08,0.52,0.52,51.4,-0.34202014332566866,-0.9396926207859084
FF,95.3,-2.48,6.05,671922,12.0,R,R,-0.63,1.31,0.43,3.7,9.26083374268906,-138.3090699261008,-3.4731169391657426,-10.33085009357032,35.34143565405506,-14.828421110438176,3.34,1.63,96.8,2296.0,7.6,52.9,4-Seam Fastball,212.0,1.24,0.63,0.63,39.9,-0.5299192642332048,-0.8480480961564261
FF,89.4,2.12,6.12,605488,11.0,R,L,0.67,1.37,-0.42,3.73,-7.69896351006483,-129.79413729440572,-2.668579464640056,9.316888592530791,31.445417337105223,-16.426201089268417,3.32,1.63,89.0,2053.0,6.5,53.98,4-Seam Fastball,150.0,1.53,0.67,-0.67,47.7,0.49999999999999994,-0.8660254037844387
FC,91.7,-1.16,6.03,676534,6.0,L,R,0.3,0.14,0.48,2.26,3.493846374213853,-133.66063386871207,-4.059643043773708,2.9229537228794418,25.552726888649875,-29.900927458306345,3.35,1.56,91.7,2846.0,6.0,54.53,Cutter,115.0,2.54,-0.3,0.3,51.9,0.90630778703665,-0.42261826174069933
ST,84.2,4.05,5.62,518617,4.0,R,L,-1.08,0.28,-0.56,2.35,-8.57301664497662,-122.42622197060756,-1.797675160497311,-9.335634834957837,22.28851443389904,-29.16945111920844,3.2,1.44,84.5,2892.0,6.4,54.13,Sweeper,304.0,2.92,-1.08,1.08,19.0,-0.8290375725550416,0.559192903470747
ST,82.1,-2.53,4.93,663765,4.0,R,R,1.15,-0.29,-0.29,2.67,2.840134530489077,-119.47959289514256,2.0409943697570587,10.34006024956166,24.844134437858024,-35.55444911533327,3.53,1.69,81.9,2703.0,6.3,54.15,Sweeper,58.0,3.69,-1.15,-1.15,22.1,0.848048096156426,0.5299192642332049
